date,var_1,var_2,var_3,var_4,label
2016-17 01,289,4558,59763,8.110369292036879,
2016-17 02,368,4505,60980,7.991144637586093,
2016-17 03,373,4621,59293,8.422579393857623,
2016-17 04,367,4427,58047,8.258824745464882,
2016-17 05,351,4452,58432,8.219811062431544,
2016-17 06,419,4448,59038,8.24384294860937,
2016-17 07,545,4419,58479,8.488517245506934,
2016-17 08,605,4369,58288,8.53348888278891,
2016-17 09,534,4260,57256,8.3729216152019,
2016-17 10,472,4223,57477,8.168484785218435,
2016-17 11,376,4100,56656,7.900310646709969,
2016-17 12,319,4091,57045,7.730738890349724,
2016-17 13,333,3887,55703,7.575893578442813,
2016-17 14,266,3821,55159,7.409488931996591,
2016-17 15,208,3776,54861,7.261989391370919,
2016-17 16,162,3489,53070,6.879592990390052,
2016-17 17,90,3458,53295,6.657284923538794,
2016-17 18,63,3308,52657,6.401807926771369,
2016-17 19,50,3216,51985,6.28258151389824,
2016-17 20,53,3201,52480,6.2004573170731705,
2016-17 21,24,3091,50972,6.111198304951738,
2016-17 22,23,3019,51256,5.934914936787888,
2016-17 23,17,3127,51418,6.114590221323272,
2016-17 24,19,3069,50797,6.079099159399177,
2016-17 25,15,2982,51195,5.8540873132141815,
2016-17 26,10,2954,50617,5.855740166347275,
2016-17 27,18,2824,50959,5.577032516336663,
2016-17 28,4,3047,49973,6.1052968603045645,
2016-17 29,10,2755,50127,5.515989386957129,
2016-17 30,3,2853,49362,5.785827154491309,
2016-17 31,4,2695,50087,5.3886237945974,
2016-17 32,6,2723,50237,5.43225112964548,
2016-17 33,11,2689,50185,5.380093653482116,
2016-17 34,7,2756,49517,5.57990185188925,
2016-17 35,7,2716,50832,5.356861819326408,
2016-17 36,12,2825,50981,5.564818265628372,
2016-17 37,7,3021,51694,5.857546330328471,
2016-17 38,16,2935,51230,5.760296701151669,
2016-17 39,19,2888,51343,5.661920807120737,
2016-17 40,18,3026,51411,5.920911867110151,
2016-17 41,11,3194,52143,6.146558502579445,
2016-17 42,7,3178,51460,6.189273221919938,
2016-17 43,17,3130,51876,6.066389081656257,
2016-17 44,16,3100,51767,6.01927869105801,
2016-17 45,19,3208,52542,6.141753264055422,
2016-17 46,7,3193,53464,5.985335926978902,
2016-17 47,22,3258,53169,6.169008256690929,
2016-17 48,34,3516,54607,6.5009980405442525,
2016-17 49,33,3618,55169,6.617846979281842,
2016-17 50,46,3782,56020,6.833273830774724,
2016-17 51,92,3739,56754,6.750185008986151,
2016-17 52,157,4108,57655,7.397450351227127,
2017-18 01,1165,5156,66134,9.557867360208062,
2017-18 02,1536,5583,67495,10.547447959108082,
2017-18 03,1626,5412,64646,10.886984500201097,
2017-18 04,1448,5187,62780,10.568652437081871,
2017-18 05,1360,4877,60974,10.22895004428117,
2017-18 06,1243,4689,61110,9.707085583374244,
2017-18 07,1179,4599,59779,9.665601632680373,
2017-18 08,892,4426,57793,9.20180644714758,
2017-18 09,738,4044,56692,8.435052564735765,
2017-18 10,507,4061,57093,8.000980855796683,
2017-18 11,444,3853,56326,7.628803749600539,
2017-18 12,345,3793,55766,7.420291934153426,
2017-18 13,284,3779,54918,7.398302924359955,
2017-18 14,300,3698,55294,7.230440915831735,
2017-18 15,214,3590,55228,6.887810530890129,
2017-18 16,153,3430,54038,6.630519264221474,
