File: series_0
Data points: 1408
Detected representative subsequence: 4

Representative subsequence 1: position=[106,149]
Representative subsequence 2: position=[221,281]
Representative subsequence 3: position=[299,365]
Representative subsequence 4: position=[384,487]

==== ClaSP Scores ====
Timestep, Score
100, 0.764892
120, 0.817621
140, 0.816267
160, 0.801494
180, 0.800973
200, 0.782521
220, 0.789899
240, 0.823094
260, 0.827616
280, 0.827528
300, 0.851699
320, 0.857349
340, 0.843059
360, 0.834410
380, 0.809927
400, 0.808670
420, 0.804729
440, 0.805722
460, 0.811694
480, 0.804901
500, 0.800167
520, 0.787734
540, 0.794730
560, 0.796322
580, 0.801582
600, 0.800344
620, 0.793007
640, 0.788822
660, 0.789468
680, 0.777621
700, 0.768767
720, 0.759849
740, 0.752310
760, 0.746015
780, 0.748154
800, 0.746674
820, 0.751352
840, 0.754241
860, 0.751048
880, 0.767043
900, 0.763820
920, 0.746865
940, 0.749586
960, 0.733986
980, 0.739599
1000, 0.754238
1020, 0.760537
1040, 0.766675
1060, 0.754888
1080, 0.749085
1100, 0.765927
1120, 0.738974
1140, 0.688435
1160, 0.677877
1180, 0.688932
1200, 0.698276
1220, 0.715532
1240, 0.677356
1260, 0.606603
