date,var_1,var_2,var_3,var_4,var_5,label
2012-10-02,79.0,1008.0,288.665252525,2.0,243.0,
2012-10-02,78.0,1008.0,288.702020202,2.0,241.0,
2012-10-02,77.0,1008.0,288.738787879,3.0,239.0,
2012-10-02,76.0,1008.0,288.775555556,3.0,236.0,
2012-10-02,75.0,1008.0,288.812323232,3.0,234.0,
2012-10-02,73.0,1008.0,288.849090909,3.0,231.0,
2012-10-02,72.0,1008.0,288.885858586,3.0,229.0,
2012-10-02,71.0,1008.0,288.922626263,3.0,226.0,
2012-10-02,70.0,1008.0,288.959393939,3.0,224.0,
2012-10-02,69.0,1008.0,288.996161616,3.0,222.0,
2012-10-02,67.0,1008.0,289.032929293,4.0,219.0,
2012-10-02,66.0,1008.0,289.06969697,4.0,217.0,
2012-10-02,65.0,1008.0,289.106464646,4.0,214.0,
2012-10-02,64.0,1008.0,289.143232323,4.0,212.0,
2012-10-02,63.0,1008.0,289.18,4.0,210.0,
2012-10-02,52.0,1011.0,293.94,5.0,310.0,
2012-10-02,56.0,1011.0,294.88,6.0,310.0,
2012-10-02,50.0,1010.0,296.73,5.0,310.0,
2012-10-02,39.0,1009.0,298.73,7.0,330.0,
2012-10-02,36.0,1008.0,299.86,6.0,320.0,
2012-10-02,34.0,1008.0,299.93,9.0,330.0,
2012-10-02,36.0,1008.0,300.25,5.0,330.0,
2012-10-02,36.0,1007.0,299.78,5.0,320.0,
2012-10-02,36.0,1007.0,299.31,6.0,310.0,
2012-10-03,72.0,1013.0,298.96,2.0,210.0,
2012-10-03,44.0,1009.0,295.98,2.0,310.0,
2012-10-03,53.0,1009.0,294.15,2.0,290.0,
2012-10-03,60.0,1010.0,293.55,3.0,260.0,
2012-10-03,66.0,1010.0,293.195,2.0,255.0,
2012-10-03,72.0,1010.0,292.84,2.0,250.0,
2012-10-03,77.0,1010.0,291.83,3.0,260.0,
2012-10-03,77.0,1010.0,291.48,2.0,250.0,
2012-10-03,88.0,1011.0,291.17,1.0,250.0,
2012-10-03,82.0,1010.0,290.98,1.0,240.0,
2012-10-03,82.0,1011.0,290.66,2.0,260.0,
2012-10-03,77.0,1011.0,290.625,1.0,275.0,
2012-10-03,72.0,1011.0,290.59,1.0,290.0,
2012-10-03,87.0,1017.0,290.59,0.0,0.0,
2012-10-03,72.0,1017.0,291.39,1.0,210.0,
2012-10-03,72.0,1017.0,293.496666667,1.0,140.0,
2012-10-03,72.0,1017.0,295.603333333,0.0,70.0,
2012-10-03,72.0,1017.0,297.71,0.0,0.0,
2012-10-03,82.0,1017.0,298.65,2.0,210.0,
2012-10-03,36.0,1012.0,299.2,0.0,0.0,
2012-10-03,36.0,1012.0,300.0,3.0,300.0,
2012-10-03,36.0,1011.0,300.04,3.0,310.0,
2012-10-03,38.0,1011.0,298.81,5.0,335.0,
2012-10-03,41.0,1012.0,297.58,8.0,360.0,
2012-10-04,49.0,1012.0,295.79,3.0,60.0,
2012-10-04,60.0,1013.0,293.54,2.0,90.0,
2012-10-04,68.0,1014.0,292.81,0.0,0.0,
2012-10-04,72.0,1014.0,292.44,0.0,0.0,
2012-10-04,77.0,1015.0,291.71,0.0,0.0,
2012-10-04,82.0,1015.0,290.59,0.0,0.0,
2012-10-04,88.0,1015.0,290.33,0.0,0.0,
2012-10-04,93.0,1015.0,290.23,0.0,0.0,
2012-10-04,87.0,1015.0,289.73,0.0,0.0,
2012-10-04,93.0,1015.0,289.59,0.0,0.0,
2012-10-04,93.0,1015.0,289.09,0.0,0.0,
2012-10-04,87.0,1018.0,289.23,1.0,350.0,
2012-10-04,100.0,1015.0,288.82,0.0,0.0,
2012-10-04,96.0,1017.0,289.48,1.0,180.0,
2012-10-04,93.0,1019.0,290.14,2.0,360.0,
2012-10-04,93.0,1019.0,294.13,2.0,40.0,
2012-10-04,50.0,1017.0,298.39,2.0,80.0,
2012-10-04,44.0,1017.0,299.49,2.0,180.0,
2012-10-04,42.0,1017.0,300.6,3.0,220.0,
2012-10-04,42.0,1016.0,301.05,2.0,130.0,
2012-10-04,42.0,1015.0,301.12,3.0,110.0,
2012-10-04,51.0,1015.0,301.58,5.0,110.0,
2012-10-04,57.0,1015.0,301.08,4.0,120.0,
2012-10-04,57.0,1015.0,299.97,5.0,160.0,
2012-10-05,64.0,1016.0,298.3,3.0,160.0,
2012-10-05,69.0,1016.0,297.15,2.0,150.0,
2012-10-05,73.0,1017.0,295.65,1.0,150.0,
2012-10-05,77.0,1018.0,295.02,2.0,150.0,
2012-10-05,77.0,1018.0,294.29,2.0,130.0,
2012-10-05,73.0,1018.0,294.2,0.0,0.0,
2012-10-05,88.0,1018.0,292.97,2.0,130.0,
2012-10-05,90.0,1018.0,293.06,1.0,65.0,
2012-10-05,93.0,1018.0,293.15,0.0,0.0,
2012-10-05,90.0,1018.0,292.575,0.0,55.0,
2012-10-05,88.0,1018.0,292.0,1.0,110.0,
2012-10-05,82.0,1019.0,292.15,2.0,130.0,
2012-10-05,82.0,1019.0,292.31,1.0,120.0,
2012-10-05,82.0,1020.0,293.43,2.0,120.0,
2012-10-05,73.0,1020.0,295.81,3.0,130.0,
2012-10-05,65.0,1021.0,298.89,3.0,120.0,
2012-10-05,61.0,1021.0,300.85,5.0,130.0,
2012-10-05,58.0,1021.0,301.04,6.0,120.0,
2012-10-05,51.0,1020.0,302.5,4.0,140.0,
2012-10-05,88.0,1018.0,301.5,2.0,300.0,
2012-10-05,48.0,1019.0,303.43,4.0,160.0,
2012-10-05,46.0,1019.0,303.15,5.0,130.0,
2012-10-05,55.0,1019.0,302.96,6.0,120.0,
2012-10-05,55.0,1019.0,301.97,6.0,140.0,
2012-10-06,100.0,1018.0,300.6,0.0,0.0,
2012-10-06,78.0,1020.0,298.38,3.0,150.0,
2012-10-06,93.0,1017.0,298.16,2.0,230.0,
2012-10-06,83.0,1020.0,296.51,1.0,140.0,
2012-10-06,83.0,1020.0,295.63,0.0,0.0,
2012-10-06,88.0,1020.0,295.13,1.0,130.0,
2012-10-06,88.0,1019.0,294.29,2.0,130.0,
2012-10-06,100.0,1020.0,293.62,0.0,0.0,
2012-10-06,94.0,1019.0,293.26,1.0,65.0,
2012-10-06,88.0,1019.0,292.9,2.0,130.0,
2012-10-06,88.0,1019.0,293.05,1.0,120.0,
2012-10-06,94.0,1019.0,293.04,2.0,140.0,
2012-10-06,88.0,1020.0,292.82,0.0,0.0,
2012-10-06,100.0,1020.0,292.66,0.0,0.0,
2012-10-06,83.0,1020.0,294.91,1.0,150.0,
2012-10-06,65.0,1020.0,298.79,2.0,160.0,
2012-10-06,61.0,1020.0,300.74,3.0,170.0,
2012-10-06,58.0,1019.0,301.51,3.0,150.0,
2012-10-06,54.0,1019.0,302.7,4.0,170.0,
2012-10-06,48.0,1018.0,303.31,2.0,0.0,
2012-10-06,48.0,1017.0,303.66,4.0,200.0,
2012-10-06,51.0,1016.0,303.53,3.0,140.0,
2012-10-06,54.0,1016.0,302.89,3.0,170.0,
2012-10-06,58.0,1015.0,301.66,4.0,190.0,
2012-10-07,65.0,1016.0,299.65,4.0,160.0,
2012-10-07,73.0,1016.0,297.57,3.0,150.0,
2012-10-07,78.0,1016.0,296.52,2.0,160.0,
2012-10-07,83.0,1016.0,295.83,1.0,180.0,
2012-10-07,88.0,1016.0,295.84,2.0,170.0,
2012-10-07,88.0,1016.0,294.91,0.0,0.0,
2012-10-07,89.0,1016.0,294.023333333,0.0,0.0,
2012-10-07,91.0,1016.0,293.136666667,0.0,0.0,
2012-10-07,93.0,1016.0,292.25,0.0,0.0,
2012-10-07,93.0,1016.0,291.81,0.0,0.0,
2012-10-07,100.0,1016.0,292.18,0.0,0.0,
2012-10-07,100.0,1016.0,291.63,0.0,0.0,
2012-10-07,100.0,1016.0,291.67,0.0,0.0,
2012-10-07,93.0,1017.0,292.72,0.0,0.0,
2012-10-07,88.0,1017.0,295.29,2.0,350.0,
2012-10-07,83.0,1017.0,296.82,4.0,20.0,
2012-10-07,69.0,1017.0,299.07,2.0,0.0,
2012-10-07,61.0,1017.0,299.73,0.0,0.0,
2012-10-07,61.0,1016.0,300.35,2.0,160.0,
2012-10-07,61.0,1015.0,301.48,3.0,80.0,
2012-10-07,58.0,1015.0,302.88,2.0,0.0,
2012-10-07,48.0,1015.0,302.61,0.0,0.0,
2012-10-07,54.0,1014.0,302.5,1.0,0.0,
2012-10-07,54.0,1014.0,301.32,2.0,120.0,
2012-10-08,57.0,1014.0,297.3,2.0,110.0,
2012-10-08,83.0,1016.0,294.41,8.0,30.0,
2012-10-08,83.0,1016.0,293.54,7.0,30.0,
2012-10-08,88.0,1017.0,292.59,5.0,20.0,
2012-10-08,82.0,1017.0,292.02,6.0,10.0,
2012-10-08,82.0,1018.0,291.03,7.0,20.0,
2012-10-08,82.0,1018.0,289.68,6.0,30.0,
2012-10-08,82.0,1019.0,288.74,8.0,10.0,
2012-10-08,82.0,1019.0,287.52,7.0,10.0,
2012-10-08,82.0,1019.0,287.01,7.0,10.0,
2012-10-08,82.0,1020.0,286.05,7.0,20.0,
2012-10-08,76.0,1020.0,285.99,8.0,10.0,
2012-10-08,81.0,1021.0,285.61,6.0,10.0,
2012-10-08,76.0,1021.0,284.94,8.0,10.0,
2012-10-08,57.0,1018.0,285.18,0.0,0.0,
2012-10-08,66.0,1022.0,285.88,7.0,360.0,
2012-10-08,67.0,1022.0,286.72,6.0,20.0,
2012-10-08,67.0,1023.0,287.11,4.0,350.0,
2012-10-08,59.0,1021.0,289.5,6.0,20.0,
2012-10-08,55.0,1020.0,290.31,5.0,10.0,
2012-10-08,55.0,1019.0,291.58,5.0,10.0,
2012-10-08,55.0,1020.0,291.78,4.0,350.0,
2012-10-08,56.0,1018.0,291.58,4.0,50.0,
2012-10-08,59.0,1018.0,290.65,5.0,40.0,
2012-10-09,59.0,1019.0,289.76,6.0,360.0,
2012-10-09,63.0,1020.0,289.5,5.0,10.0,
2012-10-09,63.0,1021.0,289.01,4.0,10.0,
2012-10-09,63.0,1021.0,288.62,5.0,10.0,
2012-10-09,67.0,1021.0,287.71,5.0,30.0,
2012-10-09,67.0,1022.0,287.22,6.0,40.0,
2012-10-09,67.0,1021.0,287.14,5.0,30.0,
2012-10-09,67.0,1022.0,286.89,4.0,40.0,
2012-10-09,69.0,1021.0,286.11,4.0,195.0,
2012-10-09,71.0,1021.0,285.33,5.0,350.0,
2012-10-09,71.0,1021.0,284.85,5.0,350.0,
2012-10-09,66.0,1022.0,284.86,5.0,10.0,
2012-10-09,71.0,1022.0,284.78,4.0,10.0,
2012-10-09,71.0,1023.0,284.91,4.0,20.0,
2012-10-09,71.0,1023.0,285.39,5.0,10.0,
2012-10-09,76.0,1023.0,286.28,4.0,20.0,
2012-10-09,71.0,1023.0,287.65,3.0,20.0,
2012-10-09,67.0,1024.0,288.11,4.0,360.0,
2012-10-09,55.0,1024.0,290.07,4.0,10.0,
2012-10-09,63.0,1022.0,290.97,1.0,330.0,
2012-10-09,60.0,1021.0,292.09,1.0,360.0,
2012-10-09,60.0,1020.0,292.92,2.0,20.0,
2012-10-09,52.0,1019.0,293.72,2.0,0.0,
2012-10-09,52.0,1019.0,293.24,0.0,0.0,
2012-10-10,63.0,1019.0,291.21,1.0,100.0,
2012-10-10,72.0,1019.0,289.0,1.0,110.0,
2012-10-10,77.0,1020.0,288.49,0.0,0.0,
2012-10-10,77.0,1020.0,289.14,0.0,0.0,
2012-10-10,82.0,1020.0,288.2,0.0,0.0,
2012-10-10,82.0,1020.0,287.91,1.0,90.0,
2012-10-10,77.0,1019.0,288.24,3.0,80.0,
2012-10-10,77.0,1019.0,288.46,2.0,110.0,
2012-10-10,82.0,1019.0,288.57,0.0,0.0,
2012-10-10,80.0,1018.0,288.443333333,0.0,30.0,
2012-10-10,78.0,1018.0,288.316666667,1.0,60.0,
2012-10-10,77.0,1018.0,288.19,2.0,90.0,
2012-10-10,82.0,1018.0,288.63,3.0,70.0,
2012-10-10,88.0,1018.0,288.91,2.0,70.0,
2012-10-10,88.0,1018.0,290.02,3.0,80.0,
2012-10-10,82.0,1019.0,290.17,0.0,0.0,
2012-10-10,73.0,1019.0,293.09,4.0,120.0,
2012-10-10,57.0,1018.0,297.56,4.0,160.0,
2012-10-10,57.0,1017.0,299.97,4.0,160.0,
2012-10-10,57.0,1016.0,300.79,5.0,160.0,
2012-10-10,82.0,1021.0,299.26,3.0,360.0,
2012-10-10,76.0,1021.0,296.09,2.0,360.0,
2012-10-10,67.0,1017.0,298.345,3.0,270.0,
2012-10-10,59.0,1013.0,300.6,4.0,181.0,
2012-10-11,59.0,1013.0,300.6,4.0,181.0,
2012-10-11,59.0,1013.0,300.6,4.0,181.0,
2012-10-11,59.0,1013.0,300.6,4.0,181.0,
2012-10-11,59.0,1013.0,300.6,4.0,181.0,
2012-10-11,59.0,1013.0,300.6,4.0,181.0,
2012-10-11,79.0,1015.0,297.465,2.0,90.0,
2012-10-11,100.0,1017.0,294.33,0.0,0.0,
2012-10-11,97.0,1016.0,293.805,0.0,0.0,
2012-10-11,94.0,1016.0,293.28,0.0,0.0,
2012-10-11,100.0,1016.0,293.28,0.0,0.0,
2012-10-11,100.0,1017.0,293.03,1.0,360.0,
2012-10-11,100.0,1018.0,293.81,2.0,40.0,
2012-10-11,94.0,1018.0,293.92,1.0,40.0,
2012-10-11,94.0,1019.0,294.25,0.0,0.0,
2012-10-11,100.0,1019.0,296.13,3.0,120.0,
2012-10-11,91.0,1017.0,297.684,3.0,123.0,
2012-10-11,82.0,1016.0,299.238,3.0,126.0,
2012-10-11,73.0,1015.0,300.792,3.0,129.0,
2012-10-11,64.0,1014.0,302.346,3.0,132.0,
2012-10-11,55.0,1013.0,303.9,3.0,136.0,
2012-10-11,55.0,1013.0,303.9,3.0,136.0,
2012-10-11,62.0,1017.0,304.75,3.0,130.0,
2012-10-11,62.0,1017.0,303.62,4.0,110.0,
2012-10-11,74.0,1018.0,301.11,5.0,130.0,
2012-10-12,83.0,1018.0,299.66,4.0,150.0,
2012-10-12,83.0,1019.0,298.87,4.0,170.0,
2012-10-12,94.0,1019.0,297.42,2.0,180.0,
2012-10-12,94.0,1019.0,296.35,0.0,0.0,
2012-10-12,94.0,1019.0,295.43,0.0,0.0,
2012-10-12,94.0,1019.0,294.67,0.0,0.0,
2012-10-12,94.0,1019.0,295.04,0.0,0.0,
2012-10-12,94.0,1019.0,295.45,1.0,110.0,
2012-10-12,94.0,1019.0,296.02,0.0,0.0,
2012-10-12,94.0,1019.0,295.87,0.0,0.0,
2012-10-12,94.0,1019.0,296.29,2.0,130.0,
2012-10-12,94.0,1019.0,296.71,2.0,130.0,
2012-10-12,94.0,1019.0,296.74,2.0,120.0,
2012-10-12,94.0,1020.0,297.1,0.0,0.0,
2012-10-12,78.0,1021.0,298.91,3.0,110.0,
2012-10-12,69.0,1021.0,300.61,5.0,130.0,
2012-10-12,65.0,1021.0,301.37,4.0,140.0,
2012-10-12,51.0,1021.0,302.33,5.0,140.0,
2012-10-12,49.0,1018.0,302.52,0.0,207.0,
2012-10-12,53.0,1017.0,302.9,1.0,307.0,
2012-10-12,54.0,1019.0,303.15,4.0,130.0,
2012-10-12,51.0,1019.0,302.95,5.0,150.0,
2012-10-12,61.0,1019.0,301.64,5.0,140.0,
2012-10-12,65.0,1019.0,300.49,4.0,140.0,
2012-10-13,62.0,1017.0,301.132,4.0,141.0,
2012-10-13,60.0,1016.0,301.774,4.0,143.0,
2012-10-13,58.0,1015.0,302.416,5.0,145.0,
2012-10-13,55.0,1014.0,303.058,5.0,147.0,
2012-10-13,53.0,1013.0,303.7,5.0,149.0,
2012-10-13,100.0,1021.0,297.49,3.0,100.0,
2012-10-13,88.0,1020.0,297.04,2.0,130.0,
2012-10-13,88.0,1020.0,296.68,2.0,120.0,
2012-10-13,88.0,1020.0,296.54,2.0,120.0,
2012-10-13,94.0,1020.0,296.53,0.0,0.0,
2012-10-13,100.0,1020.0,296.34,0.0,0.0,
2012-10-13,94.0,1020.0,295.84,0.0,0.0,
2012-10-13,100.0,1021.0,295.39,1.0,80.0,
2012-10-13,94.0,1021.0,295.77,0.0,0.0,
2012-10-13,88.0,1022.0,297.28,2.0,100.0,
2012-10-13,78.0,1022.0,299.88,3.0,120.0,
2012-10-13,65.0,1022.0,301.48,3.0,150.0,
2012-10-13,58.0,1022.0,302.54,2.0,0.0,
2012-10-13,54.0,1021.0,303.25,2.0,160.0,
2012-10-13,48.0,1020.0,304.22,4.0,100.0,
2012-10-13,43.0,1017.0,304.39,0.0,320.0,
2012-10-13,58.0,1019.0,303.77,5.0,90.0,
