date,var_1,var_2,var_3,var_4,var_5,label
2012-10-02,55.0,1012.0,289.040311099,6.0,264.0,
2012-10-02,54.0,1012.0,289.119574592,6.0,264.0,
2012-10-02,54.0,1012.0,289.198838085,6.0,265.0,
2012-10-02,54.0,1012.0,289.278101578,6.0,265.0,
2012-10-02,53.0,1012.0,289.357365071,6.0,265.0,
2012-10-02,53.0,1012.0,289.436628564,6.0,266.0,
2012-10-02,53.0,1012.0,289.515892057,6.0,266.0,
2012-10-02,53.0,1012.0,289.595155549,6.0,267.0,
2012-10-02,52.0,1012.0,289.674419042,6.0,267.0,
2012-10-02,52.0,1012.0,289.753682535,6.0,267.0,
2012-10-02,52.0,1012.0,289.832946028,5.0,268.0,
2012-10-02,51.0,1012.0,289.912209521,5.0,268.0,
2012-10-02,51.0,1012.0,289.991473014,5.0,269.0,
2012-10-02,51.0,1012.0,290.070736507,5.0,269.0,
2012-10-02,51.0,1012.0,290.15,5.0,270.0,
2012-10-02,52.0,1012.0,291.32,5.0,270.0,
2012-10-02,52.0,1012.0,291.78,2.0,303.0,
2012-10-02,52.0,1012.0,292.74,1.0,285.0,
2012-10-02,46.0,1011.0,293.82,6.0,250.0,
2012-10-02,46.0,1011.0,294.08,1.0,288.0,
2012-10-02,43.0,1012.0,294.72,5.0,240.0,
2012-10-02,43.0,1012.0,294.85,1.0,269.0,
2012-10-02,43.0,1012.0,293.2,5.0,270.0,
2012-10-02,46.0,1013.0,290.98,5.0,260.0,
2012-10-03,46.0,1014.0,289.84,4.0,270.0,
2012-10-03,46.0,1014.0,288.99,4.0,250.0,
2012-10-03,46.0,1015.0,288.8,4.0,270.0,
2012-10-03,59.0,1015.0,288.6,0.0,0.0,
2012-10-03,55.0,1015.0,288.54,2.0,330.0,
2012-10-03,52.0,1015.0,288.6,1.0,230.0,
2012-10-03,55.0,1015.0,288.85,3.0,210.0,
2012-10-03,52.0,1015.0,289.05,2.0,230.0,
2012-10-03,63.0,1015.0,289.17,0.0,0.0,
2012-10-03,52.0,1015.0,289.36,0.0,0.0,
