date,var_1,var_2,var_3,var_4,var_5,label
2012-10-02,77.0,1011.0,289.331245807,1.0,86.0,
2012-10-02,76.0,1011.0,289.316871107,1.0,80.0,
2012-10-02,75.0,1012.0,289.302496406,1.0,73.0,
2012-10-02,74.0,1012.0,289.288121706,1.0,67.0,
2012-10-02,73.0,1012.0,289.273747005,1.0,61.0,
2012-10-02,72.0,1012.0,289.259372305,0.0,55.0,
2012-10-02,71.0,1013.0,289.244997604,0.0,49.0,
2012-10-02,70.0,1013.0,289.230622904,0.0,43.0,
2012-10-02,69.0,1013.0,289.216248203,0.0,36.0,
2012-10-02,68.0,1013.0,289.201873503,0.0,30.0,
2012-10-02,67.0,1014.0,289.187498802,0.0,24.0,
2012-10-02,66.0,1014.0,289.173124102,0.0,18.0,
2012-10-02,65.0,1014.0,289.158749401,0.0,12.0,
2012-10-02,64.0,1014.0,289.144374701,0.0,6.0,
2012-10-02,63.0,1015.0,289.13,0.0,0.0,
2012-10-02,51.0,1016.0,290.73,0.0,0.0,
2012-10-02,56.0,1011.0,293.02,4.0,190.0,
2012-10-02,94.0,1001.0,296.18,3.0,140.0,
2012-10-02,70.0,1009.0,299.66,4.0,230.0,
2012-10-02,83.0,1000.0,300.03,6.0,170.0,
2012-10-02,75.0,1007.0,301.07,3.0,250.0,
2012-10-02,75.0,1007.0,302.29,3.0,260.0,
2012-10-02,18.0,1013.0,304.7,6.0,300.0,
2012-10-02,11.0,1013.0,304.86,7.0,280.0,
2012-10-03,15.0,1012.0,304.08,7.0,280.0,
2012-10-03,18.0,1012.0,302.69,7.0,280.0,
2012-10-03,25.0,1012.0,300.52,8.0,270.0,
2012-10-03,31.0,1012.0,298.56,5.0,290.0,
2012-10-03,27.0,1013.0,297.94,4.0,280.0,
2012-10-03,31.0,1013.0,296.95,2.0,250.0,
2012-10-03,28.0,1012.0,294.14,2.0,270.0,
2012-10-03,89.0,1009.0,293.46,1.0,0.0,
2012-10-03,89.0,1009.0,293.32,4.0,210.0,
2012-10-03,68.0,1012.0,292.39,0.0,0.0,
2012-10-03,48.0,1012.0,291.96,0.0,0.0,
2012-10-03,83.0,1009.0,291.52,0.0,0.0,
2012-10-03,62.0,1010.0,291.135,0.0,0.0,
2012-10-03,42.0,1011.0,290.75,0.0,0.0,
2012-10-03,48.0,1011.0,290.26,0.0,0.0,
2012-10-03,53.0,1011.0,292.67,0.0,0.0,
2012-10-03,58.0,1011.0,295.08,0.0,0.0,
2012-10-03,64.0,1012.0,297.49,0.0,0.0,
2012-10-03,60.0,1012.0,299.48,2.0,20.0,
2012-10-03,56.0,1011.0,301.24,2.0,30.0,
2012-10-03,50.0,1011.0,302.04,3.0,10.0,
2012-10-03,41.0,1010.0,303.25,2.0,30.0,
2012-10-03,28.0,1009.0,302.875,3.0,160.0,
2012-10-03,16.0,1009.0,302.5,5.0,290.0,
2012-10-04,17.0,1008.0,302.81,7.0,280.0,
2012-10-04,21.0,1008.0,301.91,7.0,280.0,
2012-10-04,24.0,1008.0,299.96,7.0,280.0,
2012-10-04,25.0,1008.0,297.82,5.0,290.0,
2012-10-04,31.0,1008.0,296.56,2.0,290.0,
2012-10-04,94.0,1011.0,296.01,0.0,0.0,
2012-10-04,88.0,1010.0,294.68,0.0,0.0,
2012-10-04,100.0,1017.0,293.92,0.0,0.0,
2012-10-04,55.0,1009.0,293.67,2.0,280.0,
2012-10-04,94.0,1009.0,293.41,3.0,180.0,
2012-10-04,67.0,1010.0,291.81,4.0,280.0,
2012-10-04,67.0,1010.0,291.16,3.0,280.0,
2012-10-04,72.0,1010.0,290.4,5.0,280.0,
2012-10-04,72.0,1010.0,289.99,5.0,280.0,
2012-10-04,72.0,1011.0,290.19,4.0,280.0,
2012-10-04,72.0,1011.0,291.28,2.0,280.0,
2012-10-04,68.0,1012.0,294.26,0.0,0.0,
2012-10-04,68.0,1012.0,296.75,0.0,0.0,
2012-10-04,64.0,1012.0,297.74,0.0,0.0,
2012-10-04,64.0,1012.0,298.64,0.0,0.0,
2012-10-04,57.0,1012.0,299.51,2.0,10.0,
2012-10-04,64.0,1012.0,298.97,3.0,20.0,
2012-10-04,47.0,1012.0,298.47,3.0,10.0,
2012-10-04,41.0,1012.0,296.57,3.0,300.0,
2012-10-05,47.0,1012.0,294.64,3.0,310.0,
2012-10-05,53.0,1012.0,293.22,2.0,300.0,
2012-10-05,68.0,1013.0,291.24,3.0,300.0,
